"1336 Auto Park Way, Escondido, CA 92029",4,USE/UNDER INFL OF CONTROLLED SUBS (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1337 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1400  AUTO PARK WAY,1400, AUTO PARK WAY ,Escondido,CA,92029,1400  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1338 Auto Park Way, Escondido, CA 92029",4,DUI ALCOHOL (M),1200 W  VALLEY PARKWAY,1200,W  VALLEY PARKWAY ,Escondido,CA,92029,1200 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1339 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (F),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1340 Auto Park Way, Escondido, CA 92029",4,DISORD CONDUCT:ALC (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1341 Auto Park Way, Escondido, CA 92029",4,POSS NARCOTIC CONTROLLED SUBS (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1342 Auto Park Way, Escondido, CA 92029",4,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),1400 W  09TH AVENUE,1400,W  09TH AVENUE ,Escondido,CA,92029,1400 W  09TH AVENUE,,W,,09TH,AVENUE,,,,,
"1343 Auto Park Way, Escondido, CA 92029",4,DUI ALCOHOL (M),1000 W  VALLEY PARKWAY,1000,W  VALLEY PARKWAY ,Escondido,CA,92029,1000 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1344 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1345 Auto Park Way, Escondido, CA 92029",4,COMMERCIAL ROBBERY - WEAPON USED,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1346 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT (Shoplifting) (F),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1347 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(All Other Larceny) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1348 Auto Park Way, Escondido, CA 92029",4,STALKING (F),100 N  UPAS STREET,100,N  UPAS STREET ,Escondido,CA,92029,100 N  UPAS STREET,,N,,UPAS,STREET,,,,,
"1349 Auto Park Way, Escondido, CA 92029",4,DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1350 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(from Building) (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1351 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (F),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1352 Auto Park Way, Escondido, CA 92029",4,VEHICLE BREAK-IN/THEFT,100 N  HALE AVENUE,100,N  HALE AVENUE ,Escondido,CA,92029,100 N  HALE AVENUE,,N,,HALE,AVENUE,,,,,
"1353 Auto Park Way, Escondido, CA 92029",4,USE/UNDER INFL OF CONTROLLED SUBS (M),1200 W  VALLEY PARKWAY,1200,W  VALLEY PARKWAY ,Escondido,CA,92029,1200 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1354 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT:DOG [OVER $950] (F),1500 W  VALLEY PARKWAY,1500,W  VALLEY PARKWAY ,Escondido,CA,92029,1500 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1355 Auto Park Way, Escondido, CA 92029",4,COMMERCIAL BURGLARY,1200 W  VALLEY PARKWAY,1200,W  VALLEY PARKWAY ,Escondido,CA,92029,1200 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1356 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(All Other Larceny) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1357 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(All Other Larceny) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1358 Auto Park Way, Escondido, CA 92029",4,BURGLARY (COMMERCIAL) (F),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1359 Auto Park Way, Escondido, CA 92029",4,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),100  LA TERRAZA BOULEVARD,100, LA TERRAZA BOULEVARD ,Escondido,CA,92029,100  LA TERRAZA BOULEVARD,,,LA,TERRAZA,BOULEVARD,,,,,
"1360 Auto Park Way, Escondido, CA 92029",4,TREATMENT-MANDATED FELONY HARD DRUGS W/2 PRIORS (F,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1361 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT (SHOPLIFT) W/2+ PRIOR CONVICTIONS (F),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1362 Auto Park Way, Escondido, CA 92029",4,POSS NARCOTIC CONTROLLED SUBS (M),1600 W  VALLEY PARKWAY,1600,W  VALLEY PARKWAY ,Escondido,CA,92029,1600 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1363 Auto Park Way, Escondido, CA 92029",4,VEHICLE BREAK-IN/THEFT,1300 W  09TH AVENUE,1300,W  09TH AVENUE ,Escondido,CA,92029,1300 W  09TH AVENUE,,W,,09TH,AVENUE,,,,,
"1364 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1365 Auto Park Way, Escondido, CA 92029",4,VEHICLE BREAK-IN/THEFT,400  LA TERRAZA BOULEVARD,400, LA TERRAZA BOULEVARD ,Escondido,CA,92029,400  LA TERRAZA BOULEVARD,,,LA,TERRAZA,BOULEVARD,,,,,
"1366 Auto Park Way, Escondido, CA 92029",4,OTHER SEX CRIME,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1367 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(from Building) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1368 Auto Park Way, Escondido, CA 92029",4,TREATMENT-MANDATED FELONY HARD DRUGS W/2 PRIORS (F,1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1369 Auto Park Way, Escondido, CA 92029",4,POSSESS CONTROLLED SUBSTANCE (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1370 Auto Park Way, Escondido, CA 92029",4,DUI ALCOHOL (M),900 W  VALLEY PARKWAY,900,W  VALLEY PARKWAY ,Escondido,CA,92029,900 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1371 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1372 Auto Park Way, Escondido, CA 92029",4,DISORD CONDUCT:ALC (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1373 Auto Park Way, Escondido, CA 92029",4,VANDALISM ($400 OR MORE) (F),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1374 Auto Park Way, Escondido, CA 92029",4,SHOOT AT INHABITED DWELLING/VEH (F),1200 W  VALLEY PARKWAY,1200,W  VALLEY PARKWAY ,Escondido,CA,92029,1200 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1375 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1376 Auto Park Way, Escondido, CA 92029",4,USE/UNDER INFL OF CONTROLLED SUBS (M),1500 W  VALLEY PARKWAY,1500,W  VALLEY PARKWAY ,Escondido,CA,92029,1500 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1377 Auto Park Way, Escondido, CA 92029",4,BATTERY ON PERSON ON SCHOOL/HOSPITAL/PARK PROPERTY (M),1400 W  09TH AVENUE,1400,W  09TH AVENUE ,Escondido,CA,92029,1400 W  09TH AVENUE,,W,,09TH,AVENUE,,,,,
"1378 Auto Park Way, Escondido, CA 92029",4,USE/UNDER INFL OF CONTROLLED SUBS (M),1500 W  VALLEY PARKWAY,1500,W  VALLEY PARKWAY ,Escondido,CA,92029,1500 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1379 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1380 Auto Park Way, Escondido, CA 92029",4,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL (M),1500 W  VALLEY PARKWAY,1500,W  VALLEY PARKWAY ,Escondido,CA,92029,1500 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1381 Auto Park Way, Escondido, CA 92029",4,VEHICLE BREAK-IN/THEFT,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1382 Auto Park Way, Escondido, CA 92029",4,VEHICLE BREAK-IN/THEFT,300 N  HALE AVENUE,300,N  HALE AVENUE ,Escondido,CA,92029,300 N  HALE AVENUE,,N,,HALE,AVENUE,,,,,
"1383 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1384 Auto Park Way, Escondido, CA 92029",4,COMMERCIAL BURGLARY,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1385 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(All Other Larceny) (M),1500 W  VALLEY PARKWAY,1500,W  VALLEY PARKWAY ,Escondido,CA,92029,1500 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1386 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Pocket Picking) (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1387 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1388 Auto Park Way, Escondido, CA 92029",4,VEHICLE BREAK-IN/THEFT,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1389 Auto Park Way, Escondido, CA 92029",4,VANDALISM ($400 OR MORE) (F),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1390 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(All Other Larceny) (M),300  VINE STREET,300, VINE STREET  ,Escondido,CA,92029,300  VINE STREET,,,VINE,STREET,,,,,,
"1391 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT (Shoplifting) (F),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1392 Auto Park Way, Escondido, CA 92029",4,USE/UNDER INFL OF CONTROLLED SUBS (M),1000 W  VALLEY PARKWAY,1000,W  VALLEY PARKWAY ,Escondido,CA,92029,1000 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1393 Auto Park Way, Escondido, CA 92029",4,COMMERCIAL BURGLARY,1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1394 Auto Park Way, Escondido, CA 92029",4,COMMERCIAL BURGLARY,1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1395 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1396 Auto Park Way, Escondido, CA 92029",4,POSS CONTROLLED SUBS PARAPHERNALIA (M),100  LA TERRAZA BOULEVARD,100, LA TERRAZA BOULEVARD ,Escondido,CA,92029,100  LA TERRAZA BOULEVARD,,,LA,TERRAZA,BOULEVARD,,,,,
"1397 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1398 Auto Park Way, Escondido, CA 92029",4,POSS NARCOTIC CONTROLLED SUBS (M),800 W  VALLEY PARKWAY,800,W  VALLEY PARKWAY ,Escondido,CA,92029,800 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1399 Auto Park Way, Escondido, CA 92029",4,SIMPLE BATTERY (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1400 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1401 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1402 Auto Park Way, Escondido, CA 92029",4,VEHICLE BREAK-IN/THEFT,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1403 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT (Shoplifting) (F),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1404 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT:MONEY/LABOR/PROPERTY (F),1700  AUTO PARK WAY,1700, AUTO PARK WAY ,Escondido,CA,92029,1700  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1405 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1406 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1407 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1408 Auto Park Way, Escondido, CA 92029",4,DUI ALCOHOL (M),1000 W  VALLEY PARKWAY,1000,W  VALLEY PARKWAY ,Escondido,CA,92029,1000 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1409 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1410 Auto Park Way, Escondido, CA 92029",4,FRAUD,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1411 Auto Park Way, Escondido, CA 92029",4,COMMERCIAL BURGLARY,1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1412 Auto Park Way, Escondido, CA 92029",4,FRAUD,1200 W  VALLEY PARKWAY,1200,W  VALLEY PARKWAY ,Escondido,CA,92029,1200 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1413 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT (Shoplifting) (F),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1414 Auto Park Way, Escondido, CA 92029",4,COMMERCIAL BURGLARY,1500 W  VALLEY PARKWAY,1500,W  VALLEY PARKWAY ,Escondido,CA,92029,1500 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1415 Auto Park Way, Escondido, CA 92029",4,DISORD CONDUCT:ALC (M),1200 W  VALLEY PARKWAY,1200,W  VALLEY PARKWAY ,Escondido,CA,92029,1200 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1416 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1417 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1418 Auto Park Way, Escondido, CA 92029",4,DUI ALCOHOL (M),1300 W  09TH AVENUE,1300,W  09TH AVENUE ,Escondido,CA,92029,1300 W  09TH AVENUE,,W,,09TH,AVENUE,,,,,
"1419 Auto Park Way, Escondido, CA 92029",4,COMMERCIAL BURGLARY,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1420 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(All Other Larceny) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1421 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT:MONEY/LABOR/PROPERTY (F),100 S  TULIP STREET,100,S  TULIP STREET ,Escondido,CA,92029,100 S  TULIP STREET,,S,,TULIP,STREET,,,,,
"1422 Auto Park Way, Escondido, CA 92029",4,CARRY CONCEALED DIRK OR DAGGER (F),900  DEL DIOS ROAD,900, DEL DIOS ROAD ,Escondido,CA,92029,900  DEL DIOS ROAD,,,DEL,DIOS,ROAD,,,,,
"1423 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1424 Auto Park Way, Escondido, CA 92029",4,CARRY CONCEALED WEAPON ON PERSON (F),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1425 Auto Park Way, Escondido, CA 92029",4,COMMERCIAL BURGLARY,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1426 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(All Other Larceny) (M),700  LA TERRAZA BOULEVARD,700, LA TERRAZA BOULEVARD ,Escondido,CA,92029,700  LA TERRAZA BOULEVARD,,,LA,TERRAZA,BOULEVARD,,,,,
"1427 Auto Park Way, Escondido, CA 92029",4,VEHICLE BREAK-IN/THEFT,1500 W  VALLEY PARKWAY,1500,W  VALLEY PARKWAY ,Escondido,CA,92029,1500 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1428 Auto Park Way, Escondido, CA 92029",4,USE/UNDER INFL OF CONTROLLED SUBS (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1429 Auto Park Way, Escondido, CA 92029",4,DUI ALCOHOL:CAUSING BODILY INJURY (F),1000 W  VALLEY PARKWAY,1000,W  VALLEY PARKWAY ,Escondido,CA,92029,1000 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1430 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(All Other Larceny) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1431 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1432 Auto Park Way, Escondido, CA 92029",4,DISORD CONDUCT:ALC (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1433 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(All Other Larceny) (M),1500 W  VALLEY PARKWAY,1500,W  VALLEY PARKWAY ,Escondido,CA,92029,1500 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1434 Auto Park Way, Escondido, CA 92029",4,DISORDERLY CONDUCT:UNDER INFLUENCE OF DRUG (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1435 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1436 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1437 Auto Park Way, Escondido, CA 92029",4,VANDALISM [$400 OR LESS] (M),800 W  VALLEY PARKWAY,800,W  VALLEY PARKWAY ,Escondido,CA,92029,800 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1438 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1439 Auto Park Way, Escondido, CA 92029",4,DISORD CONDUCT:ALC (M),1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1440 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1441 Auto Park Way, Escondido, CA 92029",4,COMMERCIAL BURGLARY,1300 W  VALLEY PARKWAY,1300,W  VALLEY PARKWAY ,Escondido,CA,92029,1300 W  VALLEY PARKWAY,,W,,VALLEY,PARKWAY,,,,,
"1442 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(from Building) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1443 Auto Park Way, Escondido, CA 92029",4,SHOPLIFTING (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1444 Auto Park Way, Escondido, CA 92029",4,PETTY THEFT(Shoplift) (M),1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1445 Auto Park Way, Escondido, CA 92029",4,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT (F),900  DEL DIOS ROAD,900, DEL DIOS ROAD ,Escondido,CA,92029,900  DEL DIOS ROAD,,,DEL,DIOS,ROAD,,,,,
"1446 Auto Park Way, Escondido, CA 92029",4,GRAND THEFT:MONEY/LABOR/PROPERTY (F),500 N  TULIP STREET,500,N  TULIP STREET ,Escondido,CA,92029,500 N  TULIP STREET,,N,,TULIP,STREET,,,,,
"1447 Auto Park Way, Escondido, CA 92029",4,VEHICLE BREAK-IN/THEFT,1200  AUTO PARK WAY,1200, AUTO PARK WAY ,Escondido,CA,92029,1200  AUTO PARK WAY,,,AUTO,PARK,WAY,,,,,
"1448 Auto Park Way, Escondido, CA 92029",4,WILLFUL CRUELTY TO CHILD: WITH INJURY/DEATH (F),900  DEL DIOS ROAD,900, DEL DIOS ROAD ,Escondido,CA,92029,900  DEL DIOS ROAD,,,DEL,DIOS,ROAD,,,,,
